"submission_date","state","tot_cases","conf_cases","prob_cases","new_case","pnew_case","tot_death","conf_death","prob_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","consent_cases.boolean","consent_deaths.boolean","season"
2021-10-08,"CA",4749201,4536273,212928,6710,0,69507,69507,0,156,0,2021-10-10,"Agree","Agree",TRUE,TRUE,"fall"
2021-04-17,"AL",521811,407180,114631,258,76,11098,8870,2228,7,2,2021-04-19,"Agree","Agree",TRUE,TRUE,"spring"
2021-09-14,"IL",1578198,1578198,0,4660,0,27008,24407,2601,39,-1,2021-09-15,"Agree","Agree",TRUE,TRUE,"summer"
2021-11-12,"MD",569823,NA,NA,909,0,11052,10821,231,13,0,2021-11-14,"N/A","Agree",NA,TRUE,"fall"
2021-03-05,"ID",172827,140013,32814,240,98,1876,1649,227,0,0,2021-03-06,"Agree","Agree",TRUE,TRUE,"winter"
2021-02-14,"WA",327703,NA,NA,710,74,4675,NA,NA,0,0,2021-02-16,"N/A","N/A",NA,NA,"winter"
2020-01-29,"MD",0,NA,NA,0,0,0,0,0,0,0,2020-01-31,"N/A","Agree",NA,TRUE,"winter"
2020-03-19,"WI",155,NA,NA,49,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2020-06-26,"ND",3421,3421,0,28,0,87,NA,NA,9,9,2020-06-27,"Agree","Not agree",TRUE,FALSE,"summer"
2020-04-23,"CA",37369,37369,0,1973,0,1396,1396,0,103,0,2022-03-07,"Agree","Agree",TRUE,TRUE,"spring"
2021-01-07,"ND",94438,90999,3439,282,24,1352,NA,NA,11,0,2021-01-08,"Agree","Not agree",TRUE,FALSE,"winter"
2022-01-05,"ND",179161,145630,33531,1349,563,2027,NA,NA,4,0,2022-01-06,"Agree","Not agree",TRUE,FALSE,"winter"
2020-04-25,"MD",17766,NA,NA,1150,0,912,866,46,68,4,2022-02-15,"N/A","Agree",NA,TRUE,"spring"
2020-06-18,"AL",28638,28268,370,733,5,1129,1051,78,7,0,2020-06-20,"Agree","Agree",TRUE,TRUE,"spring"
2020-05-03,"NE",5637,NA,NA,349,0,78,NA,NA,2,0,2020-05-05,"Not agree","Not agree",FALSE,FALSE,"spring"
2020-07-05,"IN",48008,NA,NA,576,0,2677,2492,185,6,0,2020-07-05,"Not agree","Agree",FALSE,TRUE,"summer"
2020-07-09,"AL",49563,48925,638,1524,63,1540,1418,122,18,3,2020-07-11,"Agree","Agree",TRUE,TRUE,"summer"
2021-02-22,"MT",98810,98810,0,31,0,1341,1341,0,-1,0,2021-02-23,"Agree","Agree",TRUE,TRUE,"winter"
2021-11-25,"NV",468167,455344,12823,393,29,7972,NA,NA,0,0,2021-11-26,"Agree","",TRUE,NA,"fall"
2020-11-01,"MO",204718,NA,NA,1841,178,3545,NA,NA,40,0,2020-11-03,"Not agree","Not agree",FALSE,FALSE,"fall"
2020-03-28,"NC",962,962,0,172,0,6,6,0,1,0,2020-03-28,"Agree","Agree",TRUE,TRUE,"spring"
2021-11-10,"NH",142469,NA,NA,762,0,1617,NA,NA,4,0,2021-11-11,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-06-01,"CT",347563,318234,29329,57,13,8244,6780,1464,6,3,2021-06-02,"Agree","Agree",TRUE,TRUE,"spring"
2022-01-22,"NC",2291063,1928051,363012,35200,4188,20813,18265,2548,59,8,2022-01-22,"Agree","Agree",TRUE,TRUE,"winter"
2020-12-17,"IL",879428,879428,0,8828,0,15985,14835,1150,208,28,2020-12-18,"Agree","Agree",TRUE,TRUE,"fall"
2021-02-18,"IL",1168683,1168683,0,1966,0,22297,20129,2168,73,1,2021-02-19,"Agree","Agree",TRUE,TRUE,"winter"
2020-06-11,"MD",60197,NA,NA,732,0,2985,2858,127,33,0,2020-06-13,"N/A","Agree",NA,TRUE,"spring"
2020-06-10,"ME",2635,2378,257,29,0,100,99,1,0,1,2020-06-12,"Agree","Agree",TRUE,TRUE,"spring"
2020-07-20,"NH",6249,NA,NA,46,0,398,NA,NA,0,0,2020-07-21,"Not agree","Not agree",FALSE,FALSE,"summer"
2022-02-27,"MD",1001890,NA,NA,381,0,14119,13856,263,14,0,2022-02-28,"N/A","Agree",NA,TRUE,"winter"
2021-06-27,"NV",332224,332224,0,305,0,5669,NA,NA,1,0,2021-06-28,"Agree","",TRUE,NA,"summer"
2021-06-22,"MI",1001738,896400,105338,147,24,20988,19733,1255,9,1,2021-06-23,"Agree","Agree",TRUE,TRUE,"summer"
2021-12-20,"ID",314492,249277,65215,525,78,4068,3359,709,0,0,2021-12-21,"Agree","Agree",TRUE,TRUE,"fall"
2022-03-04,"MD",1004290,NA,NA,382,0,14176,13913,263,5,0,2022-03-05,"N/A","Agree",NA,TRUE,"winter"
2021-05-12,"AL",532397,413807,118590,1140,136,11285,9009,2276,5,1,2021-05-14,"Agree","Agree",TRUE,TRUE,"spring"
2021-09-17,"WI",771872,693734,78138,3554,359,8703,7827,876,21,0,2021-09-18,"Agree","Agree",TRUE,TRUE,"summer"
2021-03-13,"GU",7768,NA,NA,1,0,133,NA,NA,0,0,2021-03-14,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-07-15,"MS",47115,45979,1136,1356,92,1796,1742,54,30,4,2020-07-17,"Agree","Agree",TRUE,TRUE,"summer"
2020-08-03,"CA",514901,514901,0,5739,0,9326,9326,0,74,0,2020-08-05,"Agree","Agree",TRUE,TRUE,"summer"
2020-07-23,"MS",56587,54851,1736,1137,77,2059,1975,84,40,6,2020-07-25,"Agree","Agree",TRUE,TRUE,"summer"
2021-10-13,"NC",1438670,1219073,219597,3099,656,17816,15661,2155,56,6,2021-10-13,"Agree","Agree",TRUE,TRUE,"fall"
2021-02-24,"AL",489904,386927,102977,970,259,10489,8391,2098,24,2,2021-02-26,"Agree","Agree",TRUE,TRUE,"winter"
2020-12-25,"MS",207703,145304,62399,991,616,5325,4097,1228,26,16,2020-12-27,"Agree","Agree",TRUE,TRUE,"winter"
2021-08-01,"NE",229030,NA,NA,136,0,2280,NA,NA,0,0,2021-08-03,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-03-13,"NE",13,NA,NA,4,0,0,NA,NA,0,0,2020-03-15,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-07-20,"DE",14211,13271,940,144,5,525,467,58,2,0,2020-07-22,"Agree","Agree",TRUE,TRUE,"summer"
2021-03-10,"CA",3513678,3513678,0,6412,0,54320,54320,0,442,0,2021-03-12,"Agree","Agree",TRUE,TRUE,"winter"
2020-05-05,"VI",66,NA,NA,0,0,4,NA,NA,0,0,2020-05-06,"","",NA,NA,"spring"
2020-12-04,"ME",15670,13781,1889,449,78,227,225,2,3,0,2020-12-06,"Agree","Agree",TRUE,TRUE,"fall"
2020-08-31,"IL",236725,235023,1702,1668,0,8235,8026,209,7,0,2020-09-01,"Agree","Agree",TRUE,TRUE,"summer"
2020-03-27,"WI",842,NA,NA,135,NA,13,NA,NA,5,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"spring"
