"submission_date","state","tot_cases","conf_cases","prob_cases","new_case","pnew_case","tot_death","conf_death","prob_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","consent_cases.boolean","consent_deaths.boolean","season"
2022-02-14,"MS",781436,430995,350441,4719,2363,11652,7702,3950,94,41,2022-02-15,"Agree","Agree",TRUE,TRUE,"winter"
2020-08-25,"MD",105046,NA,NA,377,0,3827,3674,153,1,1,2020-08-27,"N/A","Agree",NA,TRUE,"summer"
2021-03-08,"MO",555805,NA,NA,815,285,8640,NA,NA,10,0,2021-03-10,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-01-22,"ME",0,0,0,0,0,0,0,0,0,0,2020-01-24,"Agree","Agree",TRUE,TRUE,"winter"
2020-10-11,"IN",134981,NA,NA,1570,0,3787,3570,217,7,0,2020-10-11,"Not agree","Agree",FALSE,TRUE,"fall"
2021-07-09,"CA",3880618,3724833,155785,2411,0,63376,63376,0,59,0,2021-07-11,"Agree","Agree",TRUE,TRUE,"summer"
2020-05-04,"CA",54937,54937,0,1321,0,2178,2178,0,40,0,2020-05-06,"Agree","Agree",TRUE,TRUE,"spring"
2021-12-22,"NV",487836,472739,15097,1165,165,8354,NA,NA,15,0,2021-12-23,"Agree","",TRUE,NA,"winter"
2020-03-29,"NV",920,NA,NA,182,NA,15,NA,NA,1,NA,2020-03-28,"Agree","",TRUE,NA,"spring"
2020-11-03,"ND",48301,48301,0,1114,0,568,NA,NA,12,0,2020-11-04,"Agree","Not agree",TRUE,FALSE,"fall"
2021-09-15,"CA",4574136,4380566,193570,7760,0,67001,67001,0,188,0,2021-09-17,"Agree","Agree",TRUE,TRUE,"summer"
2020-06-23,"WI",28127,25331,2796,289,26,757,750,7,6,1,2020-06-24,"Agree","Agree",TRUE,TRUE,"summer"
2021-07-26,"IL",1411821,1411821,0,1298,0,25881,23409,2472,6,2,2021-07-27,"Agree","Agree",TRUE,TRUE,"summer"
2021-10-08,"ND",137678,119955,17723,552,196,1642,NA,NA,7,0,2021-10-09,"Agree","Not agree",TRUE,FALSE,"fall"
2020-08-19,"DE",16715,15757,958,85,0,595,526,69,0,0,2020-08-21,"Agree","Agree",TRUE,TRUE,"summer"
2021-10-11,"AL",805269,604320,200949,897,337,15720,12211,3509,31,10,2021-10-13,"Agree","Agree",TRUE,TRUE,"fall"
2021-04-16,"CT",329062,302775,26287,1062,208,7995,6578,1417,5,1,2021-04-17,"Agree","Agree",TRUE,TRUE,"spring"
2021-10-23,"IL",1680908,1680908,0,0,0,28414,25590,2824,0,0,2021-10-25,"Agree","Agree",TRUE,TRUE,"fall"
2020-10-04,"WI",139928,132663,7265,1926,61,1388,1377,11,5,0,2020-10-05,"Agree","Agree",TRUE,TRUE,"fall"
2021-09-18,"NE",258993,258993,0,603,0,2375,2375,0,2,0,2021-09-20,"Agree","Agree",TRUE,TRUE,"summer"
2021-08-20,"DE",116073,107459,8614,408,49,1851,1694,157,0,0,2021-08-21,"Agree","Agree",TRUE,TRUE,"summer"
2021-08-18,"GU",9200,NA,NA,82,0,144,NA,NA,0,0,2021-08-19,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-09-05,"IN",98961,NA,NA,1077,0,3343,3129,214,12,1,2020-09-05,"Not agree","Agree",FALSE,TRUE,"summer"
2021-04-04,"MT",105142,97760,7382,105,8,1466,1466,0,1,0,2021-04-05,"Agree","Agree",TRUE,TRUE,"spring"
2021-09-23,"VI",6589,NA,NA,32,0,69,NA,NA,0,0,2021-09-24,"","",NA,NA,"fall"
2020-08-14,"CA",601075,601075,0,7934,0,10831,10831,0,165,0,2020-08-16,"Agree","Agree",TRUE,TRUE,"summer"
2021-05-01,"WI",661209,598822,62387,759,84,7569,6841,728,19,1,2021-05-02,"Agree","Agree",TRUE,TRUE,"spring"
2021-05-14,"MS",315681,193375,122306,194,71,7374,5088,2286,1,0,2021-05-16,"Agree","Agree",TRUE,TRUE,"spring"
2020-10-05,"NE",48314,NA,NA,456,0,503,NA,NA,2,0,2020-10-07,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-06-22,"NH",99348,NA,NA,19,0,1368,NA,NA,1,0,2021-06-23,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-08-05,"NH",6719,NA,NA,26,0,418,NA,NA,0,0,2020-08-06,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-07-19,"ND",5126,5126,0,107,0,93,NA,NA,1,0,2020-07-20,"Agree","Not agree",TRUE,FALSE,"summer"
2020-03-17,"MD",57,NA,NA,20,0,0,0,0,0,0,2020-03-19,"N/A","Agree",NA,TRUE,"winter"
2022-02-15,"MD",994577,NA,NA,924,0,13965,13705,260,40,1,2022-02-16,"N/A","Agree",NA,TRUE,"winter"
2021-08-23,"MI",1044958,933394,111564,1429,155,21405,20123,1282,5,2,2021-08-24,"Agree","Agree",TRUE,TRUE,"summer"
2021-01-25,"NH",62768,NA,NA,431,123,990,NA,NA,3,1,2021-01-26,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-12-03,"ID",106455,89739,16716,1721,407,1014,927,87,23,1,2020-12-04,"Agree","Agree",TRUE,TRUE,"fall"
2020-12-24,"MD",260728,NA,NA,2866,0,5931,5744,187,42,0,2020-12-26,"N/A","Agree",NA,TRUE,"winter"
2020-04-13,"AL",3860,3769,91,202,2,168,160,8,8,0,2020-04-15,"Agree","Agree",TRUE,TRUE,"spring"
2021-06-07,"CA",3690868,3690868,0,874,0,62473,62473,0,3,0,2021-06-09,"Agree","Agree",TRUE,TRUE,"spring"
2020-08-22,"WI",74726,70009,4717,975,25,1089,1081,8,14,1,2020-08-23,"Agree","Agree",TRUE,TRUE,"summer"
2020-06-23,"AL",31851,31462,389,1121,10,1220,1131,89,21,1,2020-06-25,"Agree","Agree",TRUE,TRUE,"summer"
2020-08-10,"NE",28694,NA,NA,280,0,340,NA,NA,0,0,2020-08-12,"Not agree","Not agree",FALSE,FALSE,"summer"
2021-06-23,"WA",448198,NA,NA,800,112,5889,NA,NA,46,0,2021-06-25,"N/A","N/A",NA,NA,"summer"
2021-09-13,"VT",28153,NA,NA,103,0,282,NA,NA,1,0,2021-09-15,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-09-19,"MS",95863,88419,7444,333,87,3135,2867,268,7,0,2020-09-21,"Agree","Agree",TRUE,TRUE,"summer"
2020-09-02,"AL",127808,117665,10143,1006,265,3421,2993,428,24,5,2020-09-04,"Agree","Agree",TRUE,TRUE,"summer"
2021-06-22,"ID",194367,155576,38791,118,31,2140,1865,275,4,2,2021-06-23,"Agree","Agree",TRUE,TRUE,"summer"
2021-02-19,"WI",610974,558496,52478,919,145,6852,6267,585,36,1,2021-02-20,"Agree","Agree",TRUE,TRUE,"winter"
2021-03-12,"NC",875314,763786,111528,1721,427,12527,11075,1452,10,2,2021-03-12,"Agree","Agree",TRUE,TRUE,"winter"
2020-09-07,"GU",1619,NA,NA,0,0,14,NA,NA,0,0,2020-09-08,"Not agree","Not agree",FALSE,FALSE,"summer"
2021-02-19,"IN",654058,NA,NA,1047,0,12290,11915,375,45,1,2021-02-19,"Not agree","Agree",FALSE,TRUE,"winter"
2021-10-18,"MI",1229056,1090021,139035,3115,283,23017,21609,1408,13,2,2021-10-19,"Agree","Agree",TRUE,TRUE,"fall"
2021-06-01,"IL",1382587,1382587,0,401,0,25233,22835,2398,10,2,2021-06-02,"Agree","Agree",TRUE,TRUE,"spring"
2021-07-12,"VI",4043,NA,NA,5,0,32,NA,NA,0,0,2021-07-13,"","",NA,NA,"summer"
2021-02-14,"CA",3399878,3399878,0,8842,0,46457,46457,0,471,0,2021-02-16,"Agree","Agree",TRUE,TRUE,"winter"
2020-04-27,"MS",7630,7598,32,318,3,522,521,1,12,0,2022-03-07,"Agree","Agree",TRUE,TRUE,"spring"
2020-08-11,"IN",75862,NA,NA,870,0,3051,2852,199,24,0,2020-08-11,"Not agree","Agree",FALSE,TRUE,"summer"
2020-03-06,"ND",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Not agree",TRUE,FALSE,"winter"
2020-03-29,"CT",1993,NA,NA,469,NA,34,NA,NA,1,NA,2020-03-28,"Agree","Agree",TRUE,TRUE,"spring"
2021-08-03,"VI",4691,NA,NA,28,0,39,NA,NA,0,0,2021-08-04,"","",NA,NA,"summer"
2020-09-20,"MO",119719,NA,NA,653,35,2274,NA,NA,30,0,2020-09-22,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-02-26,"IL",2,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2021-01-10,"MO",482668,NA,NA,1651,533,7308,NA,NA,49,0,2021-01-12,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-03-21,"MI",7566,7413,153,852,18,26,21,5,9,1,2020-03-22,"Agree","Agree",TRUE,TRUE,"spring"
2021-05-03,"ND",107912,99606,8306,149,89,1494,NA,NA,0,0,2021-05-04,"Agree","Not agree",TRUE,FALSE,"spring"
2020-12-14,"MD",236961,NA,NA,2314,0,5450,5268,182,40,0,2020-12-16,"N/A","Agree",NA,TRUE,"fall"
2020-07-13,"IN",52037,NA,NA,425,0,2746,2561,185,2,0,2020-07-13,"Not agree","Agree",FALSE,TRUE,"summer"
2020-07-14,"VI",206,NA,NA,0,0,6,NA,NA,0,0,2020-07-15,"","",NA,NA,"summer"
2021-12-03,"WA",780668,NA,NA,2041,303,9413,NA,NA,33,0,2021-12-05,"N/A","N/A",NA,NA,"fall"
2021-09-30,"IN",962808,NA,NA,3399,0,15649,15157,492,32,0,2021-09-30,"Not agree","Agree",FALSE,TRUE,"fall"
2021-07-06,"VI",3942,NA,NA,10,0,32,NA,NA,2,0,2021-07-07,"","",NA,NA,"summer"
2020-03-09,"ID",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2021-11-27,"WA",771429,NA,NA,558,27,9208,NA,NA,0,0,2021-11-29,"N/A","N/A",NA,NA,"fall"
2021-03-02,"IL",1189416,1189416,0,1577,0,22803,20583,2220,44,-3,2021-03-03,"Agree","Agree",TRUE,TRUE,"winter"
2021-02-24,"NV",292059,292059,0,516,0,4919,NA,NA,16,0,2021-02-25,"Agree","",TRUE,NA,"winter"
2021-06-16,"DE",109418,101852,7566,-3,-9,1679,1536,143,0,0,2021-06-17,"Agree","Agree",TRUE,TRUE,"spring"
2020-05-08,"NE",7832,NA,NA,386,0,92,NA,NA,2,0,2020-05-10,"Not agree","Not agree",FALSE,FALSE,"spring"
2020-11-22,"VT",3513,NA,NA,87,1,64,NA,NA,1,0,2020-11-24,"Not agree","Not agree",FALSE,FALSE,"fall"
2022-01-09,"AL",985614,721101,264513,6166,1529,16881,13098,3783,23,7,2022-01-11,"Agree","Agree",TRUE,TRUE,"winter"
2020-07-30,"AL",86446,83135,3311,2002,218,2254,2048,206,46,4,2020-08-01,"Agree","Agree",TRUE,TRUE,"summer"
2020-10-08,"MT",16677,16677,0,614,0,197,197,0,4,0,2020-10-09,"Agree","Agree",TRUE,TRUE,"fall"
2020-09-17,"NV",74786,74595,191,344,-3,1541,NA,NA,12,0,2020-09-18,"Agree","",TRUE,NA,"summer"
2020-06-25,"MI",118901,108094,10807,1488,185,6269,5962,307,9,1,2020-06-26,"Agree","Agree",TRUE,TRUE,"summer"
2020-04-19,"MD",12830,NA,NA,522,0,591,560,31,43,4,2020-04-21,"N/A","Agree",NA,TRUE,"spring"
2021-07-27,"MS",339954,206697,133257,1875,961,7710,5318,2392,13,3,2021-07-29,"Agree","Agree",TRUE,TRUE,"summer"
2022-02-25,"CT",722377,647232,75145,423,67,10465,8565,1900,22,4,2022-02-26,"Agree","Agree",TRUE,TRUE,"winter"
2020-02-24,"NH",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-08-25,"ND",10467,10467,0,238,0,138,NA,NA,0,0,2020-08-26,"Agree","Not agree",TRUE,FALSE,"summer"
2020-10-14,"NH",9349,NA,NA,70,27,458,NA,NA,2,1,2020-10-15,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-08-15,"ND",113330,103299,10031,53,-11,1545,NA,NA,0,0,2021-08-16,"Agree","Not agree",TRUE,FALSE,"summer"
2020-04-05,"VI",42,NA,NA,0,NA,1,NA,NA,1,NA,2020-04-04,"","",NA,NA,"spring"
2020-10-21,"NV",92064,92064,0,472,-93,1732,NA,NA,-42,-47,2020-10-22,"Agree","",TRUE,NA,"fall"
2021-05-05,"MT",109455,99329,10126,140,25,1578,1578,0,1,0,2021-05-06,"Agree","Agree",TRUE,TRUE,"spring"
2021-11-29,"MS",513622,293999,219623,202,78,10264,6871,3393,1,2,2021-11-30,"Agree","Agree",TRUE,TRUE,"fall"
2021-01-07,"VI",2130,NA,NA,24,0,24,NA,NA,0,0,2021-01-08,"","",NA,NA,"winter"
2021-03-29,"ID",179763,144526,35237,335,93,1957,1706,251,3,2,2021-03-30,"Agree","Agree",TRUE,TRUE,"spring"
2020-06-04,"ND",2706,2706,0,27,0,66,NA,NA,0,0,2020-06-05,"Agree","Not agree",TRUE,FALSE,"spring"
2021-10-11,"NH",124845,NA,NA,213,0,1498,NA,NA,1,0,2021-10-12,"Not agree","Not agree",FALSE,FALSE,"fall"
2020-02-14,"CT",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2020-04-25,"ND",803,803,0,55,0,16,NA,NA,1,0,2020-05-25,"Agree","Not agree",TRUE,FALSE,"spring"
2021-12-16,"WA",798142,NA,NA,1877,308,9653,NA,NA,18,0,2021-12-18,"N/A","N/A",NA,NA,"fall"
2020-12-10,"ND",87213,85206,2007,506,35,1130,NA,NA,27,0,2020-12-11,"Agree","Not agree",TRUE,FALSE,"fall"
2021-06-11,"CA",3694498,3694498,0,1136,0,62593,62593,0,55,0,2021-06-13,"Agree","Agree",TRUE,TRUE,"spring"
2020-03-29,"ID",310,NA,NA,49,NA,6,NA,NA,1,NA,2020-03-28,"Agree","Agree",TRUE,TRUE,"spring"
2021-07-12,"NC",1011135,865189,145946,536,117,13684,12068,1616,3,0,2021-07-12,"Agree","Agree",TRUE,TRUE,"summer"
2020-10-31,"MI",309045,280658,28387,2944,232,7797,7430,367,35,1,2020-11-01,"Agree","Agree",TRUE,TRUE,"fall"
2022-01-26,"MT",233056,185990,47066,3090,1516,2990,2990,0,3,0,2022-01-27,"Agree","Agree",TRUE,TRUE,"winter"
2021-11-10,"MT",183213,152736,30477,745,224,2451,2451,0,14,0,2021-11-11,"Agree","Agree",TRUE,TRUE,"fall"
2020-12-17,"GU",7193,NA,NA,10,1,119,NA,NA,0,0,2020-12-18,"Not agree","Not agree",FALSE,FALSE,"fall"
2020-09-11,"DE",18842,17868,974,132,2,613,541,72,0,0,2020-09-13,"Agree","Agree",TRUE,TRUE,"summer"
2021-07-02,"MD",462439,NA,NA,85,0,9788,9571,217,5,0,2021-07-04,"N/A","Agree",NA,TRUE,"summer"
2020-07-25,"AL",77978,75345,2633,1387,204,2057,1873,184,39,6,2020-07-27,"Agree","Agree",TRUE,TRUE,"summer"
2020-12-17,"ID",126878,105898,20980,1426,281,1259,1121,138,28,11,2020-12-18,"Agree","Agree",TRUE,TRUE,"fall"
2021-11-25,"IN",1087016,NA,NA,2528,0,17386,16805,581,0,0,2021-11-26,"Not agree","Agree",FALSE,TRUE,"fall"
2020-05-07,"DE",6376,6161,215,174,1,213,202,11,20,11,2020-05-09,"Agree","Agree",TRUE,TRUE,"spring"
2021-04-22,"DE",103259,96529,6730,343,39,1604,1463,141,1,0,2021-04-24,"Agree","Agree",TRUE,TRUE,"spring"
2021-11-17,"IN",1061791,NA,NA,3412,0,17191,16618,573,44,3,2021-11-18,"Not agree","Agree",FALSE,TRUE,"fall"
2020-10-02,"IL",300385,297646,2739,2456,250,8992,8743,249,52,5,2020-10-03,"Agree","Agree",TRUE,TRUE,"fall"
2020-02-28,"WI",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2020-02-07,"NV",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","",TRUE,NA,"winter"
2021-04-25,"MO",581959,NA,NA,316,121,8937,NA,NA,6,0,2021-04-27,"Not agree","Not agree",FALSE,FALSE,"spring"
2021-07-31,"CT",354749,323852,30897,414,80,8293,6821,1472,0,0,2021-08-02,"Agree","Agree",TRUE,TRUE,"summer"
2020-01-31,"MD",0,NA,NA,0,0,0,0,0,0,0,2020-02-02,"N/A","Agree",NA,TRUE,"winter"
2021-09-29,"MD",530861,NA,NA,1125,0,10455,10227,228,9,0,2021-10-01,"N/A","Agree",NA,TRUE,"fall"
2021-10-02,"MT",152495,131321,21174,490,130,2018,2018,0,1,0,2021-10-04,"Agree","Agree",TRUE,TRUE,"fall"
2020-04-11,"IN",7435,NA,NA,528,0,330,330,0,30,0,2020-04-11,"Not agree","Agree",FALSE,TRUE,"spring"
2021-12-22,"VT",55351,NA,NA,620,58,439,NA,NA,3,0,2021-12-24,"Not agree","Not agree",FALSE,FALSE,"winter"
2021-09-14,"WI",760401,683714,76687,2488,398,8646,7771,875,14,2,2021-09-15,"Agree","Agree",TRUE,TRUE,"summer"
2020-11-22,"MD",182139,NA,NA,2168,0,4619,4450,169,37,1,2020-11-24,"N/A","Agree",NA,TRUE,"fall"
2021-09-29,"MI",1150064,1022575,127489,4736,1003,22355,20998,1357,30,11,2021-09-30,"Agree","Agree",TRUE,TRUE,"fall"
2020-10-23,"ND",36874,36874,0,935,0,448,NA,NA,8,0,2020-10-24,"Agree","Not agree",TRUE,FALSE,"fall"
2020-08-07,"MO",62998,NA,NA,1095,25,1498,NA,NA,12,0,2020-08-09,"Not agree","Not agree",FALSE,FALSE,"summer"
2021-06-05,"MT",112299,101253,11046,39,99,1632,1632,0,0,0,2021-06-06,"Agree","Agree",TRUE,TRUE,"spring"
2022-02-20,"NV",677345,642035,35310,0,0,9508,NA,NA,0,0,2022-02-21,"Agree","",TRUE,NA,"winter"
2021-07-27,"NC",1033892,882711,151181,2550,637,13794,12163,1631,15,1,2021-07-27,"Agree","Agree",TRUE,TRUE,"summer"
2020-08-26,"ME",4388,3965,423,22,2,132,131,1,0,0,2020-08-28,"Agree","Agree",TRUE,TRUE,"summer"
2020-02-10,"NH",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-09-09,"CA",739527,739527,0,1616,0,13727,13727,0,80,0,2020-09-11,"Agree","Agree",TRUE,TRUE,"summer"
2021-01-22,"IN",605903,NA,NA,3501,0,9872,9542,330,49,0,2021-01-22,"Not agree","Agree",FALSE,TRUE,"winter"
2020-03-07,"NC",2,2,0,1,0,0,0,0,0,0,2020-03-07,"Agree","Agree",TRUE,TRUE,"winter"
2021-05-14,"AL",539183,416954,122229,1453,491,11296,9019,2277,7,1,2021-05-16,"Agree","Agree",TRUE,TRUE,"spring"
2021-10-28,"CA",4885289,4640489,244800,8770,3821,71408,71408,0,113,0,2021-10-30,"Agree","Agree",TRUE,TRUE,"fall"
2021-03-13,"VT",15502,NA,NA,83,4,212,NA,NA,0,0,2021-03-15,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-12-14,"ID",122217,102340,19877,1038,175,1194,1075,119,19,2,2020-12-15,"Agree","Agree",TRUE,TRUE,"fall"
2021-09-25,"CA",4653610,4448666,204944,0,0,68087,68087,0,0,0,2021-09-27,"Agree","Agree",TRUE,TRUE,"fall"
2021-07-29,"MO",676803,NA,NA,4217,667,9650,NA,NA,8,0,2021-07-30,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-08-01,"NC",124714,123746,968,1967,69,2130,2127,3,30,0,2020-08-01,"Agree","Agree",TRUE,TRUE,"summer"
2020-10-12,"ND",28245,28245,0,508,0,357,NA,NA,12,0,2020-10-13,"Agree","Not agree",TRUE,FALSE,"fall"
2020-08-12,"CA",586056,586056,0,11645,0,10491,10491,0,219,0,2020-08-14,"Agree","Agree",TRUE,TRUE,"summer"
2021-01-03,"MD",285319,NA,NA,2148,0,6386,6196,190,44,0,2021-01-05,"N/A","Agree",NA,TRUE,"winter"
2020-06-28,"VT",1105,NA,NA,1,0,55,NA,NA,0,0,2020-06-30,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-08-01,"WI",58058,54002,4056,1124,62,954,947,7,13,0,2020-08-02,"Agree","Agree",TRUE,TRUE,"summer"
2020-09-13,"IL",263466,261371,2095,1462,0,8541,8309,232,14,0,2020-09-14,"Agree","Agree",TRUE,TRUE,"summer"
2020-03-01,"IN",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Not agree","Agree",FALSE,TRUE,"winter"
2020-06-05,"CA",122901,122901,0,3094,0,4368,4368,0,70,0,2020-06-07,"Agree","Agree",TRUE,TRUE,"spring"
2020-08-20,"VI",869,NA,NA,41,0,10,NA,NA,1,0,2020-08-21,"","",NA,NA,"summer"
2020-12-25,"AL",339356,278472,60884,1064,98,6756,5581,1175,56,13,2020-12-27,"Agree","Agree",TRUE,TRUE,"winter"
2021-06-10,"MS",319400,195565,123835,120,54,7442,5135,2307,3,1,2021-06-12,"Agree","Agree",TRUE,TRUE,"spring"
2020-10-01,"IL",297929,295440,2489,2166,0,8940,8696,244,24,0,2020-10-02,"Agree","Agree",TRUE,TRUE,"fall"
2020-08-06,"WI",61985,57779,4206,875,36,985,978,7,8,0,2020-08-07,"Agree","Agree",TRUE,TRUE,"summer"
2021-03-01,"CT",282626,263448,19178,2680,284,7651,6280,1371,29,3,2021-03-02,"Agree","Agree",TRUE,TRUE,"winter"
2020-05-18,"WA",18677,NA,NA,195,0,1002,NA,NA,1,0,2020-05-20,"N/A","N/A",NA,NA,"spring"
2021-04-24,"ME",59758,44840,14918,163,11,772,747,25,0,0,2021-04-26,"Agree","Agree",TRUE,TRUE,"spring"
2021-07-09,"GU",8438,NA,NA,7,0,141,NA,NA,0,0,2021-07-10,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-05-10,"WI",10219,10219,0,280,0,400,400,0,2,0,2020-05-11,"Agree","Agree",TRUE,TRUE,"spring"
2021-04-21,"NE",218133,NA,NA,322,0,2232,NA,NA,3,0,2021-04-23,"Not agree","Not agree",FALSE,FALSE,"spring"
2020-02-08,"IL",2,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2021-05-26,"ID",191738,153449,38289,192,42,2088,1820,268,1,0,2021-05-27,"Agree","Agree",TRUE,TRUE,"spring"
2022-01-19,"ND",202333,158264,44069,3120,1504,2056,NA,NA,9,0,2022-01-20,"Agree","Not agree",TRUE,FALSE,"winter"
2021-08-10,"NH",102205,NA,NA,88,29,1391,NA,NA,2,1,2021-08-11,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-12-31,"ID",141077,116717,24360,1213,346,1436,1269,167,33,4,2021-01-01,"Agree","Agree",TRUE,TRUE,"winter"
2021-08-09,"DE",112967,104853,8114,195,14,1835,1678,157,0,0,2021-08-10,"Agree","Agree",TRUE,TRUE,"summer"
2020-05-27,"NH",4286,NA,NA,55,0,223,NA,NA,9,0,2020-05-28,"Not agree","Not agree",FALSE,FALSE,"spring"
2020-05-17,"NV",6872,6857,15,210,15,365,NA,NA,16,15,2020-05-18,"Agree","",TRUE,NA,"spring"
2021-11-13,"NH",144626,NA,NA,0,0,1622,NA,NA,0,0,2021-11-15,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-06-16,"MO",608446,NA,NA,724,242,9227,NA,NA,3,0,2021-06-17,"Not agree","Not agree",FALSE,FALSE,"spring"
2020-06-28,"ID",5319,4790,529,0,0,91,71,20,0,0,2020-06-29,"Agree","Agree",TRUE,TRUE,"summer"
2021-10-18,"GU",17154,NA,NA,163,193,226,NA,NA,3,0,2021-10-19,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-07-16,"MD",463848,NA,NA,183,0,9811,9594,217,3,0,2021-07-18,"N/A","Agree",NA,TRUE,"summer"
2022-01-24,"AL",1164596,847226,317370,11204,3651,17450,13488,3962,38,9,2022-01-26,"Agree","Agree",TRUE,TRUE,"winter"
2021-10-08,"ME",94977,67817,27160,479,117,1075,992,83,5,1,2021-10-10,"Agree","Agree",TRUE,TRUE,"fall"
2020-09-09,"ND",14443,14443,0,333,0,160,NA,NA,3,0,2020-09-10,"Agree","Not agree",TRUE,FALSE,"summer"
2020-03-03,"GU",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Not agree","Not agree",FALSE,FALSE,"winter"
2020-08-14,"NV",59955,59749,206,1099,0,1073,NA,NA,15,0,2020-08-15,"Agree","",TRUE,NA,"summer"
2021-03-23,"AL",511676,400962,110714,898,242,10889,8696,2193,10,3,2021-03-25,"Agree","Agree",TRUE,TRUE,"spring"
2020-05-20,"ID",2506,2278,228,30,5,77,57,20,0,20,2020-05-21,"Agree","Agree",TRUE,TRUE,"spring"
2021-05-27,"AL",542862,419314,123548,233,88,11376,9088,2288,7,0,2021-05-29,"Agree","Agree",TRUE,TRUE,"spring"
2021-11-09,"CT",406219,368465,37754,309,34,8806,7216,1590,16,2,2021-11-10,"Agree","Agree",TRUE,TRUE,"fall"
2022-01-05,"NV",520948,502392,18556,3702,923,8488,NA,NA,20,0,2022-01-06,"Agree","",TRUE,NA,"winter"
2020-03-19,"NH",44,NA,NA,5,NA,0,NA,NA,0,NA,2020-03-26,"Not agree","Not agree",FALSE,FALSE,"winter"
2021-03-04,"VT",14536,NA,NA,115,1,204,NA,NA,0,0,2021-03-06,"Not agree","Not agree",FALSE,FALSE,"winter"
2021-11-21,"MD",578019,NA,NA,1006,0,11138,10907,231,4,0,2021-11-23,"N/A","Agree",NA,TRUE,"fall"
2020-10-10,"NV",85491,85399,92,806,0,1705,NA,NA,2,0,2020-10-11,"Agree","",TRUE,NA,"fall"
2020-11-25,"AL",239809,201700,38109,2719,482,5210,4409,801,37,8,2020-11-27,"Agree","Agree",TRUE,TRUE,"fall"
2021-01-26,"VI",2373,NA,NA,23,0,24,NA,NA,0,0,2021-01-27,"","",NA,NA,"winter"
2021-02-21,"WA",333664,NA,NA,787,95,4822,NA,NA,0,0,2021-02-23,"N/A","N/A",NA,NA,"winter"
2021-10-02,"MI",1162693,1033534,129159,3271,370,22453,21091,1362,14,0,2021-10-04,"Agree","Agree",TRUE,TRUE,"fall"
2020-07-06,"CT",46976,44997,1979,259,3,4338,3466,872,3,0,2020-07-07,"Agree","Agree",TRUE,TRUE,"summer"
2020-06-06,"NC",34690,34685,5,1321,1,1096,1096,0,21,0,2020-06-06,"Agree","Agree",TRUE,TRUE,"spring"
2020-05-18,"ME",1716,1561,155,28,0,73,72,1,2,0,2020-05-20,"Agree","Agree",TRUE,TRUE,"spring"
2020-10-31,"NE",71581,NA,NA,1109,0,652,NA,NA,6,0,2020-11-02,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-10-10,"AL",804372,603760,200612,460,92,15689,12190,3499,32,12,2021-10-12,"Agree","Agree",TRUE,TRUE,"fall"
2020-11-26,"VT",3779,NA,NA,69,1,68,NA,NA,0,0,2020-11-28,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-06-29,"ND",110707,101522,9185,27,11,1528,NA,NA,0,0,2021-06-30,"Agree","Not agree",TRUE,FALSE,"summer"
2021-10-04,"NH",122054,NA,NA,431,0,1485,NA,NA,2,0,2021-10-05,"Not agree","Not agree",FALSE,FALSE,"fall"
2020-11-30,"CA",1212968,1212968,0,14034,0,19220,19220,0,31,0,2020-12-02,"Agree","Agree",TRUE,TRUE,"fall"
