"age","vax","N","severe_cases","percent","severe_per100k"
"<50","FULL",3501118,11,"0.73",0.31418535450676
"<50","NOT_VAX",1116834,43,"0.233",3.85016931791117
">50","FULL",2133516,290,"0.904",13.5925861348122
">50","NOT_VAX",186078,171,"0.079",91.8969464418147
